SIDO,SIGUNGU,SEX_GB,AGE_GB,POPU_NUM,popu_per
경기도,고양시 일산동구,여,50,27853,0.182
경기도,고양시 일산동구,여,60,14463,0.095
경기도,고양시 일산동구,여,70,8763,0.057
경기도,고양시 일산동구,여,80,6256,0.041
경기도,고양시 일산동구,여,전체,152680,1
경기도,고양시 일산동구,전체,0,21857,0.073
경기도,고양시 일산동구,전체,10,30872,0.104
경기도,고양시 일산동구,전체,20,44502,0.15
경기도,고양시 일산동구,전체,30,38563,0.13
경기도,고양시 일산동구,전체,40,52855,0.178
경기도,고양시 일산동구,전체,50,54813,0.184
경기도,고양시 일산동구,전체,60,29483,0.099
경기도,고양시 일산동구,전체,70,15174,0.051
경기도,고양시 일산동구,전체,80,9552,0.032
경기도,고양시 일산동구,전체,전체,297671,1
경기도,고양시 일산서구,남,0,12238,0.083
경기도,고양시 일산서구,남,10,18233,0.124
경기도,고양시 일산서구,남,20,21920,0.149
경기도,고양시 일산서구,남,30,17832,0.121
경기도,고양시 일산서구,남,40,25334,0.172
경기도,고양시 일산서구,남,50,27184,0.185
경기도,고양시 일산서구,남,60,14219,0.097
경기도,고양시 일산서구,남,70,6473,0.044
경기도,고양시 일산서구,남,80,3467,0.024
경기도,고양시 일산서구,남,전체,146900,1
경기도,고양시 일산서구,여,0,11855,0.076
경기도,고양시 일산서구,여,10,17338,0.111
경기도,고양시 일산서구,여,20,20970,0.135
경기도,고양시 일산서구,여,30,19018,0.122
경기도,고양시 일산서구,여,40,28973,0.186
경기도,고양시 일산서구,여,50,27922,0.179
경기도,고양시 일산서구,여,60,13919,0.089
경기도,고양시 일산서구,여,70,9163,0.059
경기도,고양시 일산서구,여,80,6465,0.042
경기도,고양시 일산서구,여,전체,155623,1
경기도,고양시 일산서구,전체,0,24093,0.08
경기도,고양시 일산서구,전체,10,35571,0.118
경기도,고양시 일산서구,전체,20,42890,0.142
경기도,고양시 일산서구,전체,30,36850,0.122
경기도,고양시 일산서구,전체,40,54307,0.18
경기도,고양시 일산서구,전체,50,55106,0.182
경기도,고양시 일산서구,전체,60,28138,0.093
경기도,고양시 일산서구,전체,70,15636,0.052
경기도,고양시 일산서구,전체,80,9932,0.033
경기도,고양시 일산서구,전체,전체,302523,1
경기도,과천시,남,0,2374,0.083
경기도,과천시,남,10,3302,0.115
경기도,과천시,남,20,4239,0.148
경기도,과천시,남,30,3955,0.138
경기도,과천시,남,40,4353,0.152
경기도,과천시,남,50,5021,0.175
경기도,과천시,남,60,3189,0.111
경기도,과천시,남,70,1498,0.052
경기도,과천시,남,80,707,0.025
경기도,과천시,남,전체,28638,1
경기도,과천시,여,0,2133,0.072
경기도,과천시,여,10,3064,0.103
경기도,과천시,여,20,3784,0.128
경기도,과천시,여,30,3851,0.13
경기도,과천시,여,40,4856,0.164
경기도,과천시,여,50,5257,0.177
경기도,과천시,여,60,3309,0.112
경기도,과천시,여,70,1959,0.066
경기도,과천시,여,80,1438,0.048
경기도,과천시,여,전체,29651,1
경기도,과천시,전체,0,4507,0.077
경기도,과천시,전체,10,6366,0.109
경기도,과천시,전체,20,8023,0.138
경기도,과천시,전체,30,7806,0.134
경기도,과천시,전체,40,9209,0.158
경기도,과천시,전체,50,10278,0.176
경기도,과천시,전체,60,6498,0.111
경기도,과천시,전체,70,3457,0.059
경기도,과천시,전체,80,2145,0.037
경기도,과천시,전체,전체,58289,1
경기도,광명시,남,0,13175,0.084
경기도,광명시,남,10,17032,0.109
경기도,광명시,남,20,21453,0.137
경기도,광명시,남,30,22877,0.146
경기도,광명시,남,40,27252,0.174
경기도,광명시,남,50,26069,0.167
경기도,광명시,남,60,17737,0.113
경기도,광명시,남,70,8089,0.052
경기도,광명시,남,80,2721,0.017
경기도,광명시,남,전체,156405,1
경기도,광명시,여,0,12549,0.078
경기도,광명시,여,10,16031,0.1
경기도,광명시,여,20,19497,0.122
경기도,광명시,여,30,22350,0.14
경기도,광명시,여,40,27758,0.173
경기도,광명시,여,50,26504,0.165
경기도,광명시,여,60,19391,0.121
경기도,광명시,여,70,10089,0.063
경기도,광명시,여,80,5978,0.037
경기도,광명시,여,전체,160147,1
경기도,광명시,전체,0,25724,0.081
경기도,광명시,전체,10,33063,0.104
경기도,광명시,전체,20,40950,0.129
경기도,광명시,전체,30,45227,0.143
경기도,광명시,전체,40,55010,0.174
경기도,광명시,전체,50,52573,0.166
경기도,광명시,전체,60,37128,0.117
경기도,광명시,전체,70,18178,0.057
경기도,광명시,전체,80,8699,0.027
경기도,광명시,전체,전체,316552,1
경기도,광주시,남,0,18624,0.098
경기도,광주시,남,10,17199,0.09
경기도,광주시,남,20,23145,0.121
경기도,광주시,남,30,31254,0.164
경기도,광주시,남,40,34251,0.18
경기도,광주시,남,50,31304,0.164
경기도,광주시,남,60,21896,0.115
경기도,광주시,남,70,10017,0.053
경기도,광주시,남,80,3084,0.016
경기도,광주시,남,전체,190774,1
경기도,광주시,여,0,17599,0.097
경기도,광주시,여,10,16378,0.09
경기도,광주시,여,20,20740,0.114
경기도,광주시,여,30,28576,0.157
경기도,광주시,여,40,30292,0.167
경기도,광주시,여,50,30216,0.166
경기도,광주시,여,60,21662,0.119
경기도,광주시,여,70,10711,0.059
경기도,광주시,여,80,5706,0.031
경기도,광주시,여,전체,181880,1
경기도,광주시,전체,0,36223,0.097
경기도,광주시,전체,10,33577,0.09
경기도,광주시,전체,20,43885,0.118
경기도,광주시,전체,30,59830,0.161
경기도,광주시,전체,40,64543,0.173
경기도,광주시,전체,50,61520,0.165
경기도,광주시,전체,60,43558,0.117
경기도,광주시,전체,70,20728,0.056
경기도,광주시,전체,80,8790,0.024
경기도,광주시,전체,전체,372654,1
경기도,구리시,남,0,8446,0.085
경기도,구리시,남,10,9892,0.1
경기도,구리시,남,20,14066,0.142
경기도,구리시,남,30,13929,0.141
경기도,구리시,남,40,16698,0.169
경기도,구리시,남,50,17694,0.179
경기도,구리시,남,60,11366,0.115
경기도,구리시,남,70,5054,0.051
경기도,구리시,남,80,1823,0.018
경기도,구리시,남,전체,98968,1
경기도,구리시,여,0,7899,0.079
경기도,구리시,여,10,9224,0.092
경기도,구리시,여,20,13439,0.134
경기도,구리시,여,30,13649,0.136
경기도,구리시,여,40,16905,0.169
경기도,구리시,여,50,18211,0.182
경기도,구리시,여,60,11217,0.112
경기도,구리시,여,70,6345,0.063
경기도,구리시,여,80,3408,0.034
경기도,구리시,여,전체,100297,1
경기도,구리시,전체,0,16345,0.082
경기도,구리시,전체,10,19116,0.096
경기도,구리시,전체,20,27505,0.138
경기도,구리시,전체,30,27578,0.138
경기도,구리시,전체,40,33603,0.169
경기도,구리시,전체,50,35905,0.18
경기도,구리시,전체,60,22583,0.113
경기도,구리시,전체,70,11399,0.057
경기도,구리시,전체,80,5231,0.026
경기도,구리시,전체,전체,199265,1
경기도,군포시,남,0,11620,0.085
경기도,군포시,남,10,14407,0.105
경기도,군포시,남,20,19951,0.146
경기도,군포시,남,30,20539,0.15
경기도,군포시,남,40,22471,0.164
경기도,군포시,남,50,23637,0.173
경기도,군포시,남,60,14999,0.11
경기도,군포시,남,70,6434,0.047
경기도,군포시,남,80,2820,0.021
경기도,군포시,남,전체,136878,1
경기도,군포시,여,0,10982,0.079
경기도,군포시,여,10,13662,0.098
경기도,군포시,여,20,18263,0.131
경기도,군포시,여,30,19338,0.139
경기도,군포시,여,40,23289,0.168
경기도,군포시,여,50,24679,0.178
경기도,군포시,여,60,15213,0.109
경기도,군포시,여,70,8102,0.058
경기도,군포시,여,80,5446,0.039
경기도,군포시,여,전체,138974,1
경기도,군포시,전체,0,22602,0.082
경기도,군포시,전체,10,28069,0.102
경기도,군포시,전체,20,38214,0.139
경기도,군포시,전체,30,39877,0.145
경기도,군포시,전체,40,45760,0.166
경기도,군포시,전체,50,48316,0.175
경기도,군포시,전체,60,30212,0.11
경기도,군포시,전체,70,14536,0.053
경기도,군포시,전체,80,8266,0.03
경기도,군포시,전체,전체,275852,1
경기도,김포시,남,0,26669,0.121
경기도,김포시,남,10,22878,0.104
경기도,김포시,남,20,24721,0.113
경기도,김포시,남,30,34835,0.159
경기도,김포시,남,40,41906,0.191
경기도,김포시,남,50,32217,0.147
경기도,김포시,남,60,21262,0.097
경기도,김포시,남,70,11163,0.051
경기도,김포시,남,80,3901,0.018
경기도,김포시,남,전체,219552,1
경기도,김포시,여,0,25402,0.117
경기도,김포시,여,10,21919,0.101
경기도,김포시,여,20,22701,0.104
경기도,김포시,여,30,36299,0.167
경기도,김포시,여,40,38452,0.177
경기도,김포시,여,50,30527,0.14
경기도,김포시,여,60,22595,0.104
경기도,김포시,여,70,12723,0.058
경기도,김포시,여,80,7051,0.032
경기도,김포시,여,전체,217669,1
경기도,김포시,전체,0,52071,0.119
경기도,김포시,전체,10,44797,0.102
경기도,김포시,전체,20,47422,0.108
경기도,김포시,전체,30,71134,0.163
경기도,김포시,전체,40,80358,0.184
경기도,김포시,전체,50,62744,0.144
경기도,김포시,전체,60,43857,0.1
경기도,김포시,전체,70,23886,0.055
경기도,김포시,전체,80,10952,0.025
경기도,김포시,전체,전체,437221,1
경기도,남양주시,남,0,34744,0.099
경기도,남양주시,남,10,40078,0.115
경기도,남양주시,남,20,43022,0.123
경기도,남양주시,남,30,45191,0.129
경기도,남양주시,남,40,65075,0.186
경기도,남양주시,남,50,58022,0.166
경기도,남양주시,남,60,37100,0.106
경기도,남양주시,남,70,19545,0.056
경기도,남양주시,남,80,6887,0.02
경기도,남양주시,남,전체,349664,1
경기도,남양주시,여,0,32833,0.093
경기도,남양주시,여,10,37747,0.107
경기도,남양주시,여,20,39706,0.113
경기도,남양주시,여,30,47065,0.134
경기도,남양주시,여,40,63793,0.181
경기도,남양주시,여,50,55737,0.158
경기도,남양주시,여,60,39244,0.111
경기도,남양주시,여,70,23317,0.066
경기도,남양주시,여,80,12724,0.036
경기도,남양주시,여,전체,352166,1
경기도,남양주시,전체,0,67577,0.096
경기도,남양주시,전체,10,77825,0.111
경기도,남양주시,전체,20,82728,0.118
경기도,남양주시,전체,30,92256,0.131
경기도,남양주시,전체,40,128868,0.184
경기도,남양주시,전체,50,113759,0.162
경기도,남양주시,전체,60,76344,0.109
경기도,남양주시,전체,70,42862,0.061
경기도,남양주시,전체,80,19611,0.028
경기도,남양주시,전체,전체,701830,1
경기도,동두천시,남,0,3591,0.076
경기도,동두천시,남,10,4535,0.096
경기도,동두천시,남,20,6132,0.13
경기도,동두천시,남,30,5439,0.115
경기도,동두천시,남,40,7709,0.163
경기도,동두천시,남,50,8603,0.182
경기도,동두천시,남,60,6006,0.127
경기도,동두천시,남,70,3630,0.077
경기도,동두천시,남,80,1663,0.035
경기도,동두천시,남,전체,47308,1
경기도,동두천시,여,0,3331,0.07
경기도,동두천시,여,10,4470,0.094
경기도,동두천시,여,20,5069,0.107
경기도,동두천시,여,30,5194,0.109
경기도,동두천시,여,40,7230,0.152
경기도,동두천시,여,50,7714,0.163
경기도,동두천시,여,60,6339,0.134
경기도,동두천시,여,70,5094,0.107
경기도,동두천시,여,80,3019,0.064
경기도,동두천시,여,전체,47460,1
경기도,동두천시,전체,0,6922,0.073
경기도,동두천시,전체,10,9005,0.095
경기도,동두천시,전체,20,11201,0.118
경기도,동두천시,전체,30,10633,0.112
경기도,동두천시,전체,40,14939,0.158
경기도,동두천시,전체,50,16317,0.172
경기도,동두천시,전체,60,12345,0.13
경기도,동두천시,전체,70,8724,0.092
경기도,동두천시,전체,80,4682,0.049
경기도,동두천시,전체,전체,94768,1
경기도,부천시,남,0,31753,0.077
경기도,부천시,남,10,38364,0.093
경기도,부천시,남,20,61845,0.15
경기도,부천시,남,30,62101,0.151
경기도,부천시,남,40,66997,0.162
경기도,부천시,남,50,73586,0.178
경기도,부천시,남,60,50737,0.123
경기도,부천시,남,70,20329,0.049
경기도,부천시,남,80,6788,0.016
경기도,부천시,남,전체,412500,1
경기도,부천시,여,0,30245,0.072
경기도,부천시,여,10,36193,0.087
경기도,부천시,여,20,57902,0.139
경기도,부천시,여,30,59125,0.142
경기도,부천시,여,40,65974,0.158
경기도,부천시,여,50,77411,0.185
경기도,부천시,여,60,51385,0.123
경기도,부천시,여,70,24169,0.058
경기도,부천시,여,80,15092,0.036
경기도,부천시,여,전체,417496,1
경기도,부천시,전체,0,61998,0.075
경기도,부천시,전체,10,74557,0.09
경기도,부천시,전체,20,119747,0.144
경기도,부천시,전체,30,121226,0.146
경기도,부천시,전체,40,132971,0.16
경기도,부천시,전체,50,150997,0.182
경기도,부천시,전체,60,102122,0.123
경기도,부천시,전체,70,44498,0.054
경기도,부천시,전체,80,21880,0.026
경기도,부천시,전체,전체,829996,1
경기도,성남시,남,0,36902,0.079
경기도,성남시,남,10,46847,0.1
경기도,성남시,남,20,67916,0.146
경기도,성남시,남,30,70467,0.151
경기도,성남시,남,40,79349,0.17
경기도,성남시,남,50,77825,0.167
경기도,성남시,남,60,52306,0.112
경기도,성남시,남,70,25392,0.054
경기도,성남시,남,80,9640,0.021
경기도,성남시,남,전체,466644,1
경기도,성남시,여,0,35103,0.074
경기도,성남시,여,10,44412,0.093
경기도,성남시,여,20,64471,0.135
경기도,성남시,여,30,69101,0.145
경기도,성남시,여,40,80961,0.17
경기도,성남시,여,50,78583,0.165
경기도,성남시,여,60,54208,0.114
경기도,성남시,여,70,30935,0.065
경기도,성남시,여,80,18306,0.038
